indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,BEL,2016,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2016,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2017,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2017,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2018,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2018,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2019,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2019,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2020,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2020,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2021,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2021,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2022,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2022,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2023,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2023,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEN,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2011,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2014,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2014,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2015,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2015,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2018,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2018,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2019,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2019,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2020,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2020,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2021,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2021,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEN,2022,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEN,2022,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BFA,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BFA,2011,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BFA,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BFA,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
